Namespace(model_path='../../checkpoints/resnet18_cifar10_200.pt', no_cuda=False, target_num=50, test_batch_size=50)
target count: 50
Files already downloaded and verified
======Load Model======
======Make Targets======
======Start Attack======
=======Attacking Target 0=======
Trying: 2 ------> some others
theta_m tensor(-2.9399, device='cuda:0') tensor(3.2508, device='cuda:0')
theta_p tensor(-4.3311, device='cuda:0') tensor(4.4902, device='cuda:0')
step:   1, lambda: 0.00000, attack: 0.900, cls: 19.095261, reg: 511.417917, reg_best: inf
step:  56, lambda: 0.03200, attack: 1.000, cls: 60.424734, reg: 530.296198, reg_best: 512.720853
step:  57, lambda: 0.03200, attack: 1.000, cls: 60.691831, reg: 527.811307, reg_best: 512.720853
step:  58, lambda: 0.03200, attack: 1.000, cls: 60.737854, reg: 526.423126, reg_best: 512.720853
step:  59, lambda: 0.03200, attack: 1.000, cls: 60.285513, reg: 526.530908, reg_best: 512.720853
step:  60, lambda: 0.03200, attack: 1.000, cls: 59.445837, reg: 526.097742, reg_best: 512.720853
step:  61, lambda: 0.03200, attack: 1.000, cls: 59.723213, reg: 523.701614, reg_best: 512.720853
step:  62, lambda: 0.03200, attack: 1.000, cls: 59.763744, reg: 522.190848, reg_best: 512.720853
up lambda from 0.03200 to 0.06400
step:  63, lambda: 0.06400, attack: 1.000, cls: 60.331192, reg: 521.354105, reg_best: 512.720853
step:  64, lambda: 0.06400, attack: 1.000, cls: 60.209479, reg: 522.700397, reg_best: 512.720853
step:  65, lambda: 0.06400, attack: 1.000, cls: 60.875022, reg: 521.961725, reg_best: 512.720853
step:  66, lambda: 0.06400, attack: 1.000, cls: 60.893545, reg: 519.990439, reg_best: 512.720853
step:  67, lambda: 0.06400, attack: 1.000, cls: 61.018019, reg: 518.212927, reg_best: 512.720853
step:  68, lambda: 0.06400, attack: 1.000, cls: 61.595746, reg: 516.892517, reg_best: 512.720853
step:  69, lambda: 0.06400, attack: 1.000, cls: 61.843035, reg: 515.362637, reg_best: 512.720853
step:  70, lambda: 0.06400, attack: 1.000, cls: 61.853694, reg: 513.817068, reg_best: 512.720853
step:  71, lambda: 0.06400, attack: 1.000, cls: 62.039687, reg: 511.689600, reg_best: 511.689600
step:  72, lambda: 0.06400, attack: 1.000, cls: 62.654321, reg: 507.914673, reg_best: 507.914673
up lambda from 0.06400 to 0.12800
step:  73, lambda: 0.12800, attack: 1.000, cls: 62.969062, reg: 501.352316, reg_best: 501.352316
step:  74, lambda: 0.12800, attack: 1.000, cls: 63.196667, reg: 496.456133, reg_best: 496.456133
step:  75, lambda: 0.12800, attack: 1.000, cls: 63.194069, reg: 490.222821, reg_best: 490.222821
step:  76, lambda: 0.12800, attack: 1.000, cls: 63.396349, reg: 486.197957, reg_best: 486.197957
step:  77, lambda: 0.12800, attack: 1.000, cls: 63.891077, reg: 480.287128, reg_best: 480.287128
step:  78, lambda: 0.12800, attack: 1.000, cls: 64.316391, reg: 477.381967, reg_best: 477.381967
