Namespace(model_path='../../checkpoints/resnet18_cifar10_200.pt', no_cuda=False, target_num=20, test_batch_size=50)
target count: 20
Files already downloaded and verified
======Load Model======
======Make Targets======
======Start Attack======
=======Attacking Target 0=======
Trying: 6 ------> some others
theta_m tensor(-7.1665, device='cuda:0') tensor(3.9930, device='cuda:0')
theta_p tensor(-4.4273, device='cuda:0') tensor(4.5398, device='cuda:0')
=========Processing epoch 0=========
step:   1, lambda: 0.00000, attack: 0.950, cls: 20.510497, reg: 507.344713, reg_best: 507.344713
step:  56, lambda: 0.03200, attack: 1.000, cls: 46.658387, reg: 520.668796, reg_best: 507.344713
step:  57, lambda: 0.03200, attack: 1.000, cls: 46.559909, reg: 518.936542, reg_best: 507.344713
step:  58, lambda: 0.03200, attack: 1.000, cls: 46.735818, reg: 515.689203, reg_best: 507.344713
step:  59, lambda: 0.03200, attack: 1.000, cls: 46.666854, reg: 514.494635, reg_best: 507.344713
step:  60, lambda: 0.03200, attack: 1.000, cls: 46.775399, reg: 511.040193, reg_best: 507.344713
step:  61, lambda: 0.03200, attack: 1.000, cls: 47.373067, reg: 511.549289, reg_best: 507.344713
up lambda from 0.03200 to 0.06400
step:  62, lambda: 0.06400, attack: 1.000, cls: 47.656524, reg: 508.901190, reg_best: 507.344713
step:  63, lambda: 0.06400, attack: 1.000, cls: 47.587619, reg: 503.982101, reg_best: 503.982101
step:  64, lambda: 0.06400, attack: 1.000, cls: 47.504493, reg: 502.082751, reg_best: 502.082751
step:  65, lambda: 0.06400, attack: 1.000, cls: 47.360991, reg: 499.751448, reg_best: 499.751448
step:  66, lambda: 0.06400, attack: 1.000, cls: 47.629116, reg: 498.536037, reg_best: 498.536037
step:  67, lambda: 0.06400, attack: 1.000, cls: 47.695921, reg: 495.774522, reg_best: 495.774522
step:  68, lambda: 0.06400, attack: 1.000, cls: 47.692513, reg: 495.431804, reg_best: 495.431804
step:  69, lambda: 0.06400, attack: 1.000, cls: 47.545949, reg: 495.969682, reg_best: 495.431804
step:  70, lambda: 0.06400, attack: 1.000, cls: 47.263290, reg: 495.845801, reg_best: 495.431804
step:  71, lambda: 0.06400, attack: 1.000, cls: 47.161436, reg: 492.931198, reg_best: 492.931198
up lambda from 0.06400 to 0.12800
step:  72, lambda: 0.12800, attack: 1.000, cls: 47.515453, reg: 487.524240, reg_best: 487.524240
step:  73, lambda: 0.12800, attack: 1.000, cls: 48.068755, reg: 483.808002, reg_best: 483.808002
step:  74, lambda: 0.12800, attack: 1.000, cls: 47.569793, reg: 479.758388, reg_best: 479.758388
step:  75, lambda: 0.12800, attack: 1.000, cls: 47.479022, reg: 477.051822, reg_best: 477.051822
step:  76, lambda: 0.12800, attack: 1.000, cls: 47.701579, reg: 472.169714, reg_best: 472.169714
step:  77, lambda: 0.12800, attack: 1.000, cls: 47.604506, reg: 467.758485, reg_best: 467.758485
step:  78, lambda: 0.12800, attack: 1.000, cls: 48.020085, reg: 462.311893, reg_best: 462.311893
step:  79, lambda: 0.12800, attack: 1.000, cls: 47.863216, reg: 454.894321, reg_best: 454.894321
step:  80, lambda: 0.12800, attack: 1.000, cls: 47.714533, reg: 450.740546, reg_best: 450.740546
step:  81, lambda: 0.12800, attack: 1.000, cls: 47.566032, reg: 447.691364, reg_best: 447.691364
up lambda from 0.12800 to 0.25600
step:  82, lambda: 0.25600, attack: 1.000, cls: 47.559131, reg: 439.844537, reg_best: 439.844537
step:  83, lambda: 0.25600, attack: 1.000, cls: 47.731969, reg: 429.697746, reg_best: 429.697746
step:  84, lambda: 0.25600, attack: 1.000, cls: 47.830401, reg: 421.085098, reg_best: 421.085098
step:  85, lambda: 0.25600, attack: 1.000, cls: 47.786536, reg: 412.682263, reg_best: 412.682263
step:  86, lambda: 0.25600, attack: 1.000, cls: 47.702973, reg: 403.435689, reg_best: 403.435689
step:  87, lambda: 0.25600, attack: 1.000, cls: 47.651145, reg: 395.535515, reg_best: 395.535515
step:  88, lambda: 0.25600, attack: 1.000, cls: 47.623386, reg: 388.642133, reg_best: 388.642133
step:  89, lambda: 0.25600, attack: 1.000, cls: 47.687866, reg: 380.981929, reg_best: 380.981929
step:  90, lambda: 0.25600, attack: 1.000, cls: 47.786735, reg: 376.321820, reg_best: 376.321820
step:  91, lambda: 0.25600, attack: 1.000, cls: 48.035935, reg: 369.476802, reg_best: 369.476802
up lambda from 0.25600 to 0.51200
step:  92, lambda: 0.51200, attack: 1.000, cls: 47.898953, reg: 360.271031, reg_best: 360.271031
step:  93, lambda: 0.51200, attack: 1.000, cls: 47.847476, reg: 343.413150, reg_best: 343.413150
step:  94, lambda: 0.51200, attack: 1.000, cls: 47.242358, reg: 324.923831, reg_best: 324.923831
step:  95, lambda: 0.51200, attack: 1.000, cls: 46.830451, reg: 310.113783, reg_best: 310.113783
step:  96, lambda: 0.51200, attack: 1.000, cls: 46.282573, reg: 296.181831, reg_best: 296.181831
step:  97, lambda: 0.51200, attack: 1.000, cls: 45.831820, reg: 282.451027, reg_best: 282.451027
step:  98, lambda: 0.51200, attack: 1.000, cls: 45.591951, reg: 271.548529, reg_best: 271.548529
step:  99, lambda: 0.51200, attack: 1.000, cls: 45.481134, reg: 260.853899, reg_best: 260.853899
step: 100, lambda: 0.51200, attack: 1.000, cls: 45.394079, reg: 254.027553, reg_best: 254.027553
step: 101, lambda: 0.51200, attack: 1.000, cls: 45.182289, reg: 247.150039, reg_best: 247.150039
up lambda from 0.51200 to 1.02400
step: 102, lambda: 1.02400, attack: 1.000, cls: 44.166081, reg: 230.972146, reg_best: 230.972146
step: 103, lambda: 1.02400, attack: 1.000, cls: 42.918246, reg: 210.317690, reg_best: 210.317690
step: 104, lambda: 1.02400, attack: 1.000, cls: 41.910219, reg: 192.186051, reg_best: 192.186051
step: 105, lambda: 1.02400, attack: 1.000, cls: 40.625893, reg: 176.058810, reg_best: 176.058810
step: 106, lambda: 1.02400, attack: 1.000, cls: 39.679776, reg: 160.868668, reg_best: 160.868668
step: 107, lambda: 1.02400, attack: 1.000, cls: 38.547234, reg: 145.766660, reg_best: 145.766660
step: 108, lambda: 1.02400, attack: 1.000, cls: 37.786062, reg: 132.261663, reg_best: 132.261663
step: 109, lambda: 1.02400, attack: 1.000, cls: 36.707172, reg: 120.477836, reg_best: 120.477836
step: 110, lambda: 1.02400, attack: 1.000, cls: 35.800512, reg: 109.649992, reg_best: 109.649992
step: 111, lambda: 1.02400, attack: 1.000, cls: 34.639152, reg: 100.399443, reg_best: 100.399443
up lambda from 1.02400 to 2.04800
step: 112, lambda: 2.04800, attack: 1.000, cls: 33.063524, reg: 88.674547, reg_best: 88.674547
step: 113, lambda: 2.04800, attack: 1.000, cls: 30.687949, reg: 73.556264, reg_best: 73.556264
step: 114, lambda: 2.04800, attack: 1.000, cls: 29.106274, reg: 63.611322, reg_best: 63.611322
step: 115, lambda: 2.04800, attack: 1.000, cls: 27.949736, reg: 54.834047, reg_best: 54.834047
step: 116, lambda: 2.04800, attack: 1.000, cls: 27.194393, reg: 47.619834, reg_best: 47.619834
step: 117, lambda: 2.04800, attack: 1.000, cls: 26.684137, reg: 41.471313, reg_best: 41.471313
step: 118, lambda: 2.04800, attack: 1.000, cls: 25.964724, reg: 36.376784, reg_best: 36.376784
step: 119, lambda: 2.04800, attack: 1.000, cls: 25.301538, reg: 32.402670, reg_best: 32.402670
step: 120, lambda: 2.04800, attack: 1.000, cls: 24.298848, reg: 28.756329, reg_best: 28.756329
step: 121, lambda: 2.04800, attack: 1.000, cls: 23.705478, reg: 24.302719, reg_best: 24.302719
up lambda from 2.04800 to 4.09600
step: 122, lambda: 4.09600, attack: 1.000, cls: 22.849435, reg: 18.854907, reg_best: 18.854907
step: 123, lambda: 4.09600, attack: 1.000, cls: 20.493160, reg: 14.368022, reg_best: 14.368022
step: 124, lambda: 4.09600, attack: 1.000, cls: 16.632674, reg: 12.053495, reg_best: 12.053495
step: 125, lambda: 4.09600, attack: 1.000, cls: 14.801960, reg: 10.504431, reg_best: 10.504431
step: 126, lambda: 4.09600, attack: 1.000, cls: 15.967197, reg: 9.739357, reg_best: 9.739357
step: 127, lambda: 4.09600, attack: 1.000, cls: 18.153257, reg: 9.464752, reg_best: 9.464752
step: 128, lambda: 4.09600, attack: 1.000, cls: 18.775822, reg: 9.060262, reg_best: 9.060262
step: 129, lambda: 4.09600, attack: 1.000, cls: 18.941735, reg: 8.798095, reg_best: 8.798095
step: 130, lambda: 4.09600, attack: 1.000, cls: 19.177737, reg: 8.694768, reg_best: 8.694768
step: 131, lambda: 4.09600, attack: 1.000, cls: 19.138946, reg: 8.519589, reg_best: 8.519589
up lambda from 4.09600 to 8.19200
step: 132, lambda: 8.19200, attack: 1.000, cls: 17.550060, reg: 7.679423, reg_best: 7.679423
step: 133, lambda: 8.19200, attack: 1.000, cls: 14.418604, reg: 6.597978, reg_best: 6.597978
step: 134, lambda: 8.19200, attack: 1.000, cls: 10.873686, reg: 6.106514, reg_best: 6.106514
step: 135, lambda: 8.19200, attack: 1.000, cls: 8.443404, reg: 5.933121, reg_best: 5.933121
step: 136, lambda: 8.19200, attack: 1.000, cls: 7.580067, reg: 5.852694, reg_best: 5.852694
step: 137, lambda: 8.19200, attack: 1.000, cls: 5.873677, reg: 5.676501, reg_best: 5.676501
step: 138, lambda: 8.19200, attack: 0.150, cls: 0.243833, reg: 4.412499, reg_best: 5.676501
step: 139, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 1.802214, reg_best: 5.676501
step: 140, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.490654, reg_best: 5.676501
step: 141, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.165751, reg_best: 5.676501
step: 142, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.063921, reg_best: 5.676501
step: 143, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.025828, reg_best: 5.676501
step: 144, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.010621, reg_best: 5.676501
step: 145, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.004398, reg_best: 5.676501
step: 146, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.001826, reg_best: 5.676501
step: 147, lambda: 8.19200, attack: 0.000, cls: 0.000000, reg: 0.000759, reg_best: 5.676501
down lambda from 8.19200 to 2.59054
step: 148, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000386, reg_best: 5.676501
step: 149, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000238, reg_best: 5.676501
step: 150, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000119, reg_best: 5.676501
step: 151, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000053, reg_best: 5.676501
step: 152, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000022, reg_best: 5.676501
step: 153, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000009, reg_best: 5.676501
step: 154, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000004, reg_best: 5.676501
step: 155, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000002, reg_best: 5.676501
step: 156, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000001, reg_best: 5.676501
step: 157, lambda: 2.59054, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
down lambda from 2.59054 to 0.81920
step: 158, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 159, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 160, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 161, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 162, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 163, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 164, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 165, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 166, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 167, lambda: 0.81920, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
down lambda from 0.81920 to 0.25905
step: 168, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 169, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 170, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 171, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 172, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 173, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 174, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 175, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 176, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
step: 177, lambda: 0.25905, attack: 0.000, cls: 0.000000, reg: 0.000000, reg_best: 5.676501
